strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
USA/CT-CDCBI-CRSP_MSURBIKWUSS4JYA3/2022	2022-01-02	28.00	21M (Omicron)	USA	0.01	Connecticut	B.1.1.529 (Omicron)	202201	OM187593	Homo sapiens	0.92		New	North America		Lemieux et al G				17.44
USA/GA-CDC-ASC210638902/2021	2021-12-22	28.00	21M (Omicron)	USA	0.01	Georgia	B.1.1.529 (Omicron)	202151	OM173541	Homo sapiens	0.85		1-2 days ago	North America		Howard et al AO				17.44
USA/NY-CDCBI-CRSP_GDDWDUVFD26IOMM5/2022	2022-01-01	28.00	21M (Omicron)	USA	0.01	New York	B.1.1.529 (Omicron)	202152	OM186834	Homo sapiens	0.93		New	North America		Lemieux et al H				17.44
USA/VT-CDCBI-CRSP_7AN7A3PPQDRQP6WP/2021	2021-12-28	28.00	21M (Omicron)	USA	0.01	Vermont	B.1.1.529 (Omicron)	202152	OM166130	Homo sapiens	0.92		3-7 days ago	North America		Lemieux et al I		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	17.44
USA/MA-CDCBI-CRSP_CVLMQFS47QCIM73K/2022	2022-01-02	28.00	21M (Omicron)	USA	0.01	Massachusetts	B.1.1.529 (Omicron)	202201	OM187064	Homo sapiens	0.92		New	North America		Lemieux et al J				17.44
CHN/Omicron-1/2021	2021-12-08	28.00	21M (Omicron)	China	0.00	Beijing	B.1.1.529 (Omicron)	202149	OM095411	Homo sapiens	0.92	BA.1	3-7 days ago	Asia		Qin et al A				17.44
USA/HI-CDC-ASC210642496/2021	2021-12-22	28.00	21M (Omicron)	USA	0.01	Hawaii	B.1.1.529 (Omicron)	202151	OM173190	Homo sapiens	0.92		1-2 days ago	North America		Howard et al AP				17.44
Japan/SZ-NIG-216036/2021	2021-12-28	28.00	21M (Omicron)	Japan	0.01	Shizuoka	B.1.1.529 (Omicron)	202152	BS001392	Homo sapiens	0.92		1-2 days ago	Asia		Nagaoka et al A				17.44
Japan/SZ-NIG-Y212223/2021	2021-12-30	28.00	21M (Omicron)	Japan	0.01	Shizuoka	B.1.1.529 (Omicron)	202152	BS001395	Homo sapiens	0.92		1-2 days ago	Asia		Nagaoka et al B				17.44
Japan/SZ-NIG-216037/2021	2021-12-28	28.00	21M (Omicron)	Japan	0.01	Shizuoka	B.1.1.529 (Omicron)	202152	BS001393	Homo sapiens	0.92		1-2 days ago	Asia		Nagaoka et al C				17.44
Japan/SZ-NIG-216065/2021	2021-12-31	28.00	21M (Omicron)	Japan	0.01	Shizuoka	B.1.1.529 (Omicron)	202152	BS001397	Homo sapiens	0.92		1-2 days ago	Asia		Nagaoka et al D				17.44
Japan/SZ-NIG-Y212222/2021	2021-12-30	28.00	21M (Omicron)	Japan	0.01	Shizuoka	B.1.1.529 (Omicron)	202152	BS001394	Homo sapiens	0.92		1-2 days ago	Asia		Nagaoka et al E				17.44
Japan/SZ-NIG-216061/2021	2021-12-31	28.00	21M (Omicron)	Japan	0.01	Shizuoka	B.1.1.529 (Omicron)	202152	BS001396	Homo sapiens	0.92		1-2 days ago	Asia		Nagaoka et al F				14.26
USA/OK-CDC-ASC210637924/2021	2021-12-21	28.00	21M (Omicron)	USA	0.00	Oklahoma	B.1.1.529 (Omicron)	202151	OM134902	Homo sapiens	0.92		3-7 days ago	North America		Howard et al AQ		Aegis Sciences Corporation	CDC-OAMD	14.26
USA/JW4235/2022	2022-01-01	28.00	21M (Omicron)	USA	0.01	North Carolina	B.1.1.529 (Omicron)	202152	OM185991	Homo sapiens	0.92		New	North America		Wang et al A				14.26
USA/CT-CDCBI-CRSP_BJRXMDFVHMWFSAVX/2022	2022-01-02	28.00	21M (Omicron)	USA	0.01	Connecticut	B.1.1.529 (Omicron)	202201	OM186846	Homo sapiens	0.92		New	North America		Lemieux et al K				14.26
USA/RI-CDCBI-CRSP_5SIBRSZXZUMJTANF/2021	2021-12-29	28.00	21M (Omicron)	USA	0.01	Rhode Island	B.1.1.529 (Omicron)	202152	OM184227	Homo sapiens	0.94		1-2 days ago	North America		Lemieux et al L				14.26
USA/NH-CDCBI-CRSP_VMDPWP6AUK57HZ6J/2022	2022-01-02	28.00	21M (Omicron)	USA	0.01	New Hampshire	B.1.1.529 (Omicron)	202201	OM188292	Homo sapiens	0.92		New	North America		Lemieux et al M				14.26
MAR/CNRST-HM36/2021	2021-12-22	26.00	21M (Omicron)	Morocco	0.01	Morocco	B.1.1.529 (Omicron)	202151	OM011974	Homo sapiens	0.84	BA.1	One month ago	Africa		Chouati et al				14.26
USA/FL-CDC-ASC210624430/2021	2021-12-14	27.00	21M (Omicron)	USA	0.00	Florida	B.1.1.529 (Omicron)	202150	OM036868	Homo sapiens	0.82	BA.1	One week ago	North America		Howard et al AR		Aegis Sciences Corporation	CDC-OAMD	14.26
USA/IL-CDC-LC0440923/2021	2021-12-13	27.00	21M (Omicron)	USA	0.00	Illinois	B.1.1.529 (Omicron)	202150	OM120879	Homo sapiens	0.84	BA.1	3-7 days ago	North America		Howard et al AS		Laboratory Corporation of America	CDC-OAMD	14.26
AUT/SKV-282/2021	2021-12-01	27.00	21M (Omicron)	Austria	0.00	Upper Austria	B.1.1.529 (Omicron)	202148	OL721912	Homo sapiens	0.82	BA.1	Older	Europe		Puehringer et al G				14.26
BHR/21342822598_S86_L001/2021	2021-12-10	26.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202149	OM069048	Homo sapiens	0.78	BA.1	One week ago	Asia		Alwasti et al N				14.26
BHR/21120026177_S52_L001/2021	2021-12-10	27.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202149	OM069012	Homo sapiens	0.84	BA.1	One week ago	Asia		Alwasti et al O				14.26
OV314799	2021-12-13	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV314799	Homo sapiens	0.81	BA.1	3-7 days ago	Europe		Fraser et al		Rosalind Franklin Laboratory	Wellcome Sanger Institute	14.26
USA/ME-CDCBI-CRSP_I5EYZAOXQNHXTT4T/2022	2022-01-02	27.00	21M (Omicron)	USA	0.01	Maine	B.1.1.529 (Omicron)	202201	OM187554	Homo sapiens	0.82		New	North America		Lemieux et al N				14.26
USA/AL-CDC-FG-220816/2021	2021-12-17	27.00	21M (Omicron)	USA	0.00	Alabama	B.1.1.529 (Omicron)	202150	OM149917	Homo sapiens	0.78		3-7 days ago	North America		Howard et al AT		Fulgent Genetics	CDC-OAMD	14.26
BHR/21120028991_S88_L001/2021	2021-12-10	27.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202149	OM069014	Homo sapiens	0.82	BA.1	One week ago	Asia		Alwasti et al P				14.26
AUT/SKV-292/2021	2021-12-08	27.00	21M (Omicron)	Austria	0.00	Upper Austria	B.1.1.529 (Omicron)	202149	OM019072	Homo sapiens	0.92	BA.1	One week ago	Europe		Puehringer et al H				14.26
AUT/SKV-291/2021	2021-12-08	27.00	21M (Omicron)	Austria	0.00	Upper Austria	B.1.1.529 (Omicron)	202149	OM019071	Homo sapiens	0.88	BA.1	One week ago	Europe		Puehringer et al I				14.26
USA/NC-CDC-LC0438201/2021	2021-12-21	27.00	21M (Omicron)	USA	0.00	North Carolina	B.1.1.529 (Omicron)	202151	OM122092	Homo sapiens	0.82	BA.1	3-7 days ago	North America		Howard et al AU		Laboratory Corporation of America	CDC-OAMD	14.26
CHN/HZ-21cov3867/2021	2021-12-19	27.00	21M (Omicron)	China	0.00	China	B.1.1.529 (Omicron)	202151	OL988214	Homo sapiens	0.83	BA.1	One month ago	Asia		Yu et al				14.26
USA/JW4263/2022	2022-01-01	27.00	21M (Omicron)	USA	0.01	North Carolina	B.1.1.529 (Omicron)	202152	OM186018	Homo sapiens	0.86		New	North America		Wang et al B				14.26
USA/NY-CDCBI-CRSP_PXIMC3HH3UBH7W3J/2022	2022-01-01	27.00	21M (Omicron)	USA	0.01	New York	B.1.1.529 (Omicron)	202152	OM186837	Homo sapiens	0.85		New	North America		Lemieux et al O				14.26
OV314510	2021-12-16	28.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV314510	Homo sapiens	0.85	BA.1	3-7 days ago	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	14.26
OV309125	2021-12-10	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202149	OV309125	Homo sapiens	0.85	BA.1	One week ago	Europe		Berkshire et al		Berkshire and Surrey Pathology Services Lighthouse Laboratory	Wellcome Sanger Institute	14.26
OV313874	2021-12-15	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV313874	Homo sapiens	0.85	BA.1	3-7 days ago	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	14.26
CAN/KB-D-003/2021	2021-12-28	27.00	21M (Omicron)	Canada	0.01	Saskatchewan	B.1.1.529 (Omicron)	202152	OM131552	Homo sapiens	0.85	BA.1	3-7 days ago	North America		Banerjee et al A		Arinjay Banerjee	Sunnybrook/Shared Hospital Laboratory	14.26
USA/DC-CDC-LC0431801/2021	2021-12-15	27.00	21M (Omicron)	USA	0.00	Washington DC	B.1.1.529 (Omicron)	202150	OM043329	Homo sapiens	0.83	BA.1	One week ago	North America		Howard et al AV				14.26
USA/MD-CDC-LC0437911/2021	2021-12-21	27.00	21M (Omicron)	USA	0.00	Maryland	B.1.1.529 (Omicron)	202151	OM122005	Homo sapiens	0.83	BA.1	3-7 days ago	North America		Howard et al AW		Laboratory Corporation of America	CDC-OAMD	14.26
OV315207	2021-12-13	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV315207	Homo sapiens	0.82	BA.1	3-7 days ago	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	14.26
OV314137	2021-12-16	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV314137	Homo sapiens	0.82	BA.1	3-7 days ago	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	14.26
EGY/Suez-om58/2021	2021-12-09	28.00	21M (Omicron)	Egypt	0.00	Suez	B.1.1.529 (Omicron)	202149	OL982609	Homo sapiens	0.87	BA.1	One month ago	Africa		Seadawy et al D				14.26
OV314129	2021-12-14	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV314129	Homo sapiens	0.82	BA.1	3-7 days ago	Europe		Fraser et al		Rosalind Franklin Laboratory	Wellcome Sanger Institute	14.26
OV314778	2021-12-14	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV314778	Homo sapiens	0.82	BA.1	3-7 days ago	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	14.26
CAN/ON-NML-249359/2021	2021-11-23	27.00	21M (Omicron)	Canada	0.00	Ontario	B.1.1.529 (Omicron)	202147	OL677199	Homo sapiens	0.82	BA.1	Older	North America		Majer et al		Dynacare	CanCOGeN: Canadian Public Health Laboratory SARS-CoV-2 submission group	14.26
AUS/A12-WW-209C/2021	2021-11-25	27.00	21M (Omicron)	Australia	0.00	Australia	B.1.1.529 (Omicron)	202147	OL869974	Homo sapiens	0.83	BA.1	One month ago	Oceania		Ahmed et al		CSIRO Australia	CSIRO Land and Water	14.26
BEL/rega-20174/2021	2021-11-24	27.00	21M (Omicron)	Belgium	0.00	Belgium	B.1.1.529 (Omicron)	202147	OL672836	Homo sapiens	0.82	BA.1	Older	Europe		Logist et al				14.26
OV314189	2021-12-15	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV314189	Homo sapiens	0.82	BA.1	3-7 days ago	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	14.26
USA/ID-CDC-LC0445985/2021	2021-12-27	27.00	21M (Omicron)	USA	0.01	Idaho	B.1.1.529 (Omicron)	202152	OM176345	Homo sapiens	0.82		1-2 days ago	North America		Howard et al AX				14.26
USA/FL-CDC-STM-HUYX7X9F4/2021	2021-12-11	27.00	21M (Omicron)	USA	0.00	Florida	B.1.1.529 (Omicron)	202149	OM053966	Homo sapiens	0.82	BA.1	One week ago	North America		Howard et al AY		'Helix'	CDC-OAMD	14.26
USA/GA-CDC-MMB12195720/2021	2021-12-15	27.00	21M (Omicron)	USA	0.00	Georgia	B.1.1.529 (Omicron)	202150	OM020115	Homo sapiens	0.82	BA.1	One week ago	North America		Howard et al AZ		Mako Medical	CDC-OAMD	14.26
OV310558	2021-12-13	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202150	OV310558	Homo sapiens	0.82	BA.1	One week ago	Europe		The Lighthouse Lab in Milton et al B		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute	14.26
PAK/275010/2021	2021-12-17	27.00	21M (Omicron)	Pakistan	0.00	Sindh	B.1.1.529 (Omicron)	202150	OM149716	Homo sapiens	0.82		3-7 days ago	Asia		Kabir et al A				14.26
USA/MI-CDC-STM-YB7RF2UFR/2021	2021-12-13	27.00	21M (Omicron)	USA	0.00	Michigan	B.1.1.529 (Omicron)	202150	OM101678	Homo sapiens	0.82	BA.1	3-7 days ago	North America		Howard et al BA		'Helix'	CDC-OAMD	14.26
USA/TX-CDC-FG-214808/2021	2021-12-22	27.00	21M (Omicron)	USA	0.01	Texas	B.1.1.529 (Omicron)	202151	OM092810	Homo sapiens	0.82	BA.1	3-7 days ago	North America		Howard et al BB		Fulgent Genetics	CDC-OAMD	14.26
USA/WI-CDC-FG-204195/2021	2021-12-20	27.00	21M (Omicron)	USA	0.00	Wisconsin	B.1.1.529 (Omicron)	202151	OM178901	Homo sapiens	0.81		1-2 days ago	North America		Howard et al BC				14.26
USA/LA-CDC-STM-NPR2NAMUX/2021	2021-12-16	27.00	21M (Omicron)	USA	0.00	Louisiana	B.1.1.529 (Omicron)	202150	OM055409	Homo sapiens	0.82	BA.1	One week ago	North America		Howard et al BD		'Helix'	CDC-OAMD	14.26
USA/WI-CDC-FG-215459/2021	2021-12-23	27.00	21M (Omicron)	USA	0.01	Wisconsin	B.1.1.529 (Omicron)	202151	OM119006	Homo sapiens	0.81	BA.1	3-7 days ago	North America		Howard et al BE		Fulgent Genetics	CDC-OAMD	14.26
OV310905	2021-12-14	27.00	21M (Omicron)	United Kingdom	0.00	Scotland	B.1.1.529 (Omicron)	202150	OV310905	Homo sapiens	0.82	BA.1	One week ago	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	14.26
USA/TX-CDC-FG-203831/2021	2021-12-21	27.00	21M (Omicron)	USA	0.00	Texas	B.1.1.529 (Omicron)	202151	OM179240	Homo sapiens	0.82		1-2 days ago	North America		Howard et al BF				14.26
USA/DE-CDC-LC0445759/2021	2021-12-23	27.00	21M (Omicron)	USA	0.01	Delaware	B.1.1.529 (Omicron)	202151	OM176101	Homo sapiens	0.82		1-2 days ago	North America		Howard et al BG				14.26
OV316845	2021-12-19	27.00	21M (Omicron)	United Kingdom	0.00	England	B.1.1.529 (Omicron)	202151	OV316845	Homo sapiens	0.82	BA.1	3-7 days ago	Europe		VanSteenhouse et al B		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	14.26
ZAF/R03006/2020	2020-03-07	1.00	20A	South Africa		KwaZulu-Natal	20A	202010	MT324062	Homo sapiens	0.30	B.1	Older	Africa		Allam et al				
FIN/FIN-25-VE6-H10/2020	2020-02-25	1.00	20A	Finland		Finland	20A	202009	MW717675	Homo sapiens	0.30	B.1	Older	Europe		Smura et al B				
FIN/hCoV-19-Finland-FIN-25/2020	2020-02-26	3.00	20A	Finland		Finland	20A	202009	MZ934692	Homo sapiens	0.38	B.1	Older	Europe		Smura et al C				
GRC/204_33112/2020	2020-03-12	1.00	20A	Greece		Athens	20A	202011	MT459872	Homo sapiens	0.29	B.1	Older	Europe		Kassela et al				
USA/AK115/2020	2020-03-25	1.00	20A	USA		Alaska	20A	202013	MT477852	Homo sapiens	0.29	B.1	Older	North America		DeRonde et al C				
KAZ/NCB-2/2020	2020-03-20	1.00	20A	Kazakhstan		Kazakhstan	20A	202012	MT428552	Homo sapiens	0.31	B.1	Older	Asia		Shevtsov et al				
PER/covper048/2020	2020-06-24	2.00	20A	Peru		Peru	20A	202026	MW030279	Homo sapiens	0.34	B.1.205	Older	South America		Juscamayta et al S				
Switzerland/BS-UHB-42231705/2020	2020-04-15	1.00	20A	Switzerland		Basel-Stadt	20A	202016	OU280437	Homo sapiens	0.34	B.1	Older	Europe		? S		Clinical Virology, University Hospital Basel, Switzerland	University Hospital Basel	
MWI/MLW00010/2020	2020-07-01	1.00	20A	Malawi		Malawi	20A	202027	OL778959	Homo sapiens	0.34	B.1	Older	Africa		Ashton et al D				
PER/covper072/2020	2020-03-17	1.00	20A	Peru		Peru	20A	202012	MW030212	Homo sapiens	0.30	B.1.8	Older	South America		Juscamayta et al T				
NGA/BCVL-3305/2020	2020-07-15	1.00	20A	Nigeria		Oyo State	20A	202029	OL601625	Homo sapiens	0.34	B.1	Older	Africa		Lorenzo-Redondo et al G				
CUB/USAFSAM-S031/2020	2020-03-24	2.00	20A	Cuba		Cuba	20A	202013	MT873897	Homo sapiens	0.33	B.1.378	Older	North America		Fries et al B		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	
NZL/20CV0290/2020	2020-03-26	1.00	20A	New Zealand		Canterbury	20A	202013	OK426913	Homo sapiens	0.30	B.1	Older	Oceania		Ren et al BF		Canterbury Health Laboratories	Institute of Environmental Science and Research	
POL/PL_MCB_63/2020	2020-06-06	1.00	20A	Poland		Poland	20A	202023	MW273845	Homo sapiens	0.31	B.1.213	Older	Europe		Kowalski et al B				
GIN/C2/2020	2020-05-13	1.00	20A	Guinea		Guinea	20A	202020	MZ622025	Homo sapiens	0.29	B.1.1.317	Older	Africa		Krasnov et al D				
GIN/C3/2020	2020-06-14	1.00	20A	Guinea		Guinea	20A	202025	MZ604340	Homo sapiens	0.32	B.1.1	Older	Africa		Krasnov et al E				
GHA/82879_S48/2020	2020-05-20	1.00	20A	Ghana		Ghana	20A	202021	MT890234	Homo sapiens	0.30	B.1	Older	Africa		Ngoi et al E				
AUS/VIC1008/2020	2020-03-31	1.00	20A	Australia		Victoria	20A	202014	MT451690	Homo sapiens	0.30	B.1	Older	Oceania		Seemann et al I		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
UGA/MAKCHScov19/2020	2020-10-22	1.00	20A	Uganda		Uganda	20A	202043	MZ287360	Homo sapiens	0.44	B.1.214	Older	Africa		Mwesigwa et al D				
AUS/NT12/2020	2020-03-25	1.00	20A	Australia		Northern Territory	20A	202013	MT641657	Homo sapiens	0.30	B.1	Older	Oceania		Caly et al N		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
SRB/GR04387-09-12/2020	2020-12-09	2.00	20A	Kosovo		Pristina	20A	202050	MW548719	Homo sapiens	0.44	B.1.221	Older	Europe		Vidanovic et al G				
HG994324	2021-01-04	2.00	20A	Poland		Wielkopolskie	20A	202101	HG994324	Homo sapiens	0.44	B.1.221	Older	Europe		? F		Szpital Pomnik Chrztu Polski	COVID-HUB-PL	
POL/PL_MCB_30/2020	2020-04-15	1.00	20A	Poland		Poland	20A	202016	MW273812	Homo sapiens	0.31	B.1.187	Older	Europe		Kowalski et al C				
Belgium/42477217/2020	2020-10-09	2.00	20A	Belgium		Limburg BE	20A	202041	OU280445	Homo sapiens	0.30	B.1	Older	Europe		? T		Clinical Virology, University Hospital Basel, Switzerland	University Hospital Basel	
HG994237	2020-12-04	1.00	20A	Poland		Poland	20A	202049	HG994237	Homo sapiens	0.30	B.1	Older	Europe		? F		IBCH	COVID-HUB-PL	
POL/PL_MCB_17/2020	2020-03-28	1.00	20A	Poland		Poland	20A	202013	MW273799	Homo sapiens	0.30	B.1	Older	Europe		Kowalski et al D				
NZL/20CV0415/2020	2020-10-08	2.00	20E (EU1)	New Zealand		Auckland	20E (EU1)	202041	OK426902	Homo sapiens	0.43	B.1.177.44	Older	Oceania		Ren et al BG		Pathlab Lakes	Institute of Environmental Science and Research	
ESP/HUD-79063196/2020	2020-08-08	2.00	20E (EU1)	Spain		Spain	20E (EU1)	202032	MT953880	Homo sapiens	0.45	B.1.177	Older	Europe		Cilla et al A				
Scotland/QEUH-9C9240/2020	2020-09-14	2.00	20E (EU1)	United Kingdom		Scotland	20E (EU1)	202038	OA984767	Homo sapiens	0.45	B.1.177.11	Older	Europe		VanSteenhouse et al A		Lighthouse Lab in Glasgow	Wellcome Sanger Institute	
France/GES-42484124/2020	2020-10-14	3.00	20E (EU1)	France		Grand Est	20E (EU1)	202042	OU280627	Homo sapiens	0.39	B.1.177	Older	Europe		? U		Clinical Virology, University Hospital Basel, Switzerland	University Hospital Basel	
LR992075	2020-08-15	4.00	20E (EU1)	Italy		Apulia	20E (EU1)	202033	LR992075	Homo sapiens	0.46	B.1.177	Older	Europe		Chiara et al		Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari	UNIVERSITY OF MILAN. DEPT. OF BIOSCIENCES	
ITA/Naples_FedericoII-04/2021	2021-02-15	4.00	20E (EU1)	Italy		Italy	20E (EU1)	202107	MZ054387	Homo sapiens	0.47	B.1.177.83	Older	Europe		Capoluongo et al				
NZL/20CV0664/2020	2020-12-11	3.00	20E (EU1)	New Zealand		Auckland	20E (EU1)	202050	OK426617	Homo sapiens	0.45	B.1.177.19	Older	Oceania		Ren et al BH		LabPLUS	Institute of Environmental Science and Research	
ESP/HUD-68697401/2021	2021-02-08	2.00	20E (EU1)	Spain		Spain	20E (EU1)	202106	MW715076	Homo sapiens	0.49	B.1.177	Older	Europe		Cilla et al B				
Iceland/4295/2020	2020-11-03	2.00	20E (EU1)	Iceland		Iceland	20E (EU1)	202045	OU165510	Homo sapiens	0.53	B.1.177.45	Older	Europe		Jonsson et al E		deCODE genetics	DECODE GENETICS	
Switzerland/VD-ETHZ-460754/2021	2021-01-15	2.00	20E (EU1)	Switzerland		Vaud	20E (EU1)	202102	OU007944	Homo sapiens	0.44	B.1.177	Older	Europe		? V		Computational evolution group,Mattenstrasse 26, Basel	ETH ZURICH D-BSSE	
TUN/TUN-202063686/2020	2020-12-01	2.00	20E (EU1)	Tunisia		Tunisia	20E (EU1)	202049	MW404672	Homo sapiens	0.42	B.1.177	Older	Africa		Boutiba-Ben Boubaker et al D				
TUN/TUN-20212249/2021	2021-01-08	2.00	20E (EU1)	Tunisia		Tunisia	20E (EU1)	202101	MW463458	Homo sapiens	0.42	B.1.177	Older	Africa		Boutiba-Ben Boubaker et al E				
ESP/HUD-66682640/2020	2020-08-03	2.00	20E (EU1)	Spain		Spain	20E (EU1)	202032	MT953878	Homo sapiens	0.44	B.1.177	Older	Europe		Cilla et al C				
ESP/HUD-79063144/2020	2020-08-08	2.00	20E (EU1)	Spain		Spain	20E (EU1)	202032	MT953879	Homo sapiens	0.44	B.1.177	Older	Europe		Cilla et al D				
OU077039	2020-10-02	2.00	20E (EU1)	Germany		North Rhine Westphalia	20E (EU1)	202040	OU077039	Homo sapiens	0.46	B.1.177.81	Older	Europe		? B		Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf	Robert Koch Institute	
OU097784	2021-03-16	2.00	20E (EU1)	Germany		Hamburg	20E (EU1)	202111	OU097784	Homo sapiens	0.51	B.1.177.81	Older	Europe		? B		MVZ Labor Dr. Fenner und Kollegen (Standort Hamburg), 20095 Hamburg	Robert Koch Institute	
NZL/20CV0589/2020	2020-11-18	2.00	20E (EU1)	New Zealand		Auckland	20E (EU1)	202047	OK426660	Homo sapiens	0.45	B.1.177.51	Older	Oceania		Ren et al BI		LabPLUS	Institute of Environmental Science and Research	
OU076635	2020-11-24	4.00	20E (EU1)	Germany		Niedersachsen	20E (EU1)	202048	OU076635	Homo sapiens	0.49	B.1.177.62	Older	Europe		? B		Medizinische Hochschule Hannover Institut für Virologie, Carl-Neuberg-Str. 1; 30623 Hannover	Robert Koch Institute	
Estonia/Cov8612/2021	2021-02-08	3.00	20E (EU1)	Estonia		Estonia	20E (EU1)	202106	OU278682	Homo sapiens	0.54	B.1.177.60	Older	Europe		Avi et al C			Institute of Biomedicine and Translational Medicine, University of Tartu	
LR992051	2020-07-20	1.00	20A	Italy		Apulia	20A	202030	LR992051	Homo sapiens	0.28	B.1	Older	Europe		Chiara et al		Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari	UNIVERSITY OF MILAN. DEPT. OF BIOSCIENCES	
OU072918	2020-05-08	1.00	20A	Germany		Bavaria	20A	202019	OU072918	Homo sapiens	0.29	B.1	Older	Europe		? B		Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL), Veterinärstraße 2; 85764 Oberschleißheim	Robert Koch Institute	
KEN/SS2782/2020	2020-06-29	1.00	20A	Kenya		Kenya	20A	202027	OK510449	Homo sapiens	0.28	B.1	Older	Africa		Githinji et al BK				
KEN/C59010/2020	2020-09-16	1.00	20A	Kenya		Kenya	20A	202038	OK487809	Homo sapiens	0.31	B.1	Older	Africa		Githinji et al BL				
KEN/C5011/2020	2020-05-07	2.00	20A	Kenya		Kenya	20A	202019	MW751271	Homo sapiens	0.37	B.1	Older	Africa		Githinji et al BM				
NZL/20VR3477/2020	2020-04-04	1.00	20A	New Zealand		New Zealand	20A	202014	MZ332490	Homo sapiens	0.29	B.1.91	Older	Oceania		Geoghegan et al G			Institute of Environmental Science and Research	
NZL/20VR3476/2020	2020-06-22	1.00	20A	New Zealand		New Zealand	20A	202026	MZ332489	Homo sapiens	0.29	B.1.91	Older	Oceania		Geoghegan et al H			Institute of Environmental Science and Research	
AUS/VIC853/2020	2020-04-04	1.00	20A	Australia		Victoria	20A	202014	MT451597	Homo sapiens	0.30	B.1	Older	Oceania		Seemann et al J		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
KEN/C2777/2020	2020-04-24	2.00	20A	Kenya		Kenya	20A	202017	MW751186	Homo sapiens	0.33	B.1	Older	Africa		Githinji et al BN				
NZL/21CV0107/2021	2021-01-13	1.00	20A	New Zealand		Auckland	20A	202102	OK426574	Homo sapiens	0.51	B.1.524	Older	Oceania		Ren et al BJ		LabPLUS	Institute of Environmental Science and Research	
